ai_task,base_model,hardware,cloud_region,dataset_size,epochs,carbon_footprint,training_time,performance_score,failure_risk
NLP,BERT-base,NVIDIA A100,eu-west-3,1000,10,0.8,2.5,87.2,Low
NLP,BERT-base,NVIDIA V100,us-east-1,1000,10,2.1,3.8,84.1,Low
NLP,BERT-large,NVIDIA A100,eu-west-3,5000,15,4.2,8.7,91.5,Low
NLP,BERT-large,NVIDIA V100,us-east-1,5000,15,11.8,14.2,88.9,Medium
NLP,GPT-3.5,TPU v4,eu-west-3,50000,25,125.4,72.3,94.8,Medium
Computer Vision,ResNet-50,NVIDIA A100,eu-west-3,2000,20,1.9,4.1,89.7,Low
Computer Vision,ResNet-50,NVIDIA V100,us-west-2,2000,20,3.8,6.8,86.3,Low
Computer Vision,ResNet-101,NVIDIA A100,eu-west-3,5000,30,6.7,12.4,92.1,Low
Computer Vision,ResNet-101,NVIDIA RTX 4090,us-east-1,5000,30,18.9,18.7,89.4,Medium
Computer Vision,ViT-Base,TPU v4,eu-west-3,10000,25,8.9,15.6,93.2,Low
Speech Recognition,BERT-base,NVIDIA A100,eu-west-1,3000,15,2.4,5.2,85.6,Low
Speech Recognition,BERT-base,NVIDIA V100,ap-southeast-1,3000,15,9.1,8.9,82.7,Medium
Recommendation,BERT-base,NVIDIA A100,us-west-2,1500,12,1.2,3.1,88.9,Low
Recommendation,BERT-base,CPU,us-east-1,1500,12,4.8,45.7,76.2,High
NLP,BERT-base,CPU,us-east-1,500,8,2.1,28.4,72.8,High
NLP,BERT-large,NVIDIA RTX 4090,us-west-2,8000,20,12.4,22.1,90.3,Medium
Computer Vision,ResNet-50,CPU,eu-west-1,1000,15,3.7,67.8,68.4,High
Computer Vision,ViT-Base,NVIDIA A100,us-east-1,15000,35,28.7,35.2,94.1,Medium
Speech Recognition,BERT-large,TPU v4,eu-west-3,7000,18,5.8,11.3,91.7,Low
Recommendation,ResNet-50,NVIDIA V100,ap-southeast-1,2500,25,14.2,15.8,87.5,Medium
NLP,GPT-3.5,NVIDIA A100,eu-west-3,100000,50,387.5,156.7,96.2,High
Computer Vision,ResNet-101,TPU v4,us-west-2,12000,40,15.6,28.9,93.8,Medium
Speech Recognition,ViT-Base,NVIDIA RTX 4090,us-east-1,6000,22,19.8,26.4,88.6,Medium
Recommendation,BERT-large,NVIDIA A100,eu-west-1,4000,16,3.8,7.9,89.1,Low
NLP,BERT-base,TPU v4,us-west-2,2000,12,1.4,3.7,86.8,Low
Computer Vision,ResNet-50,NVIDIA RTX 4090,eu-west-3,3000,25,4.9,8.2,88.2,Low
Speech Recognition,BERT-base,NVIDIA V100,eu-west-1,4000,20,6.8,11.4,84.9,Medium
Recommendation,ViT-Base,NVIDIA A100,us-east-1,8000,30,18.4,21.7,91.3,Medium
NLP,BERT-large,CPU,us-east-1,3000,10,12.7,89.3,69.7,High
Computer Vision,ResNet-101,NVIDIA V100,ap-southeast-1,8000,35,42.1,48.6,90.8,High
NLP,BERT-base,NVIDIA A100,us-west-2,2000,8,1.6,3.2,88.4,Low
NLP,BERT-base,NVIDIA RTX 4090,eu-west-1,1500,12,3.2,4.8,85.7,Low
NLP,BERT-large,TPU v4,us-east-1,10000,20,8.9,16.4,92.8,Low
NLP,GPT-3.5,NVIDIA V100,eu-west-3,75000,40,298.7,124.5,95.1,High
Computer Vision,ResNet-50,TPU v4,eu-west-1,3000,18,2.8,5.9,90.2,Low
